log_yield,long,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
4.754451889,-103.625,41.125,5.661797546,41.79999924,0.300000012,2.366669893,20,0.824024022,9.294779778,0.270000011,16,31,54,5,30.39999962
5.007965066,-103.625,41.875,6.52281251,42.59999847,0.400000006,2.133330107,21,0.70946002,9.579000473,0.323000014,15,49,37,6,31.5
4.899331225,-103.625,44.875,5.597281532,43.5,0.333332986,2.099999905,20.4666996,0.742385983,10.26500034,0.363000005,57,22,20,6,30.29999924
4.094344562,-103.625,43.625,4.609498363,42.40000153,0.400000006,2.166670084,18.06669998,0.731540978,9.564720154,0.537999988,18,45,37,5,28.5
4.395682961,-103.625,43.375,5.228869821,43.70000076,0.366667002,2.133330107,21.26670074,0.726709008,9.795450211,0.463999987,13,52,35,6,32
4.248495242,-103.625,45.625,4.435302752,44.59999847,0.300000012,2.099999905,20,0.769248009,10.7578001,0.407999992,7,72,20,6,29.70000076
3.414442608,-103.375,46.125,4.820194889,45.40000153,0.300000012,2.200000048,20,0.819090009,11.21889973,0.503000021,20,33,47,6,29.60000038
4.143134726,-103.375,47.875,4.905612413,47.29999924,0.400000006,1.966670036,19.5333004,0.674368024,12.09930038,0.56099999,29,30,41,5,28.89999962
4.147885329,-103.375,48.375,4.518566578,47.79999924,0.400000006,1.899999976,19.5,0.638831973,12.3593998,0.50999999,19,41,41,5,28.70000076
4.795790546,-103.375,34.125,5.900155119,38.09999847,0.366667002,2.299999952,24.39999962,0.820568979,8.208029747,0.222000003,12,58,30,9,32.90000153
5.298317367,-103.375,36.375,6.107532517,38.5,0.233333007,2.133330107,22.86669922,0.79943198,8.49835968,0.202000007,22,36,41,7,31.60000038
5.023880521,-103.125,38.125,5.398622184,45.29999924,0.233333007,1.666669965,23.5,0.577547014,9.866970062,0.228,31,33,36,7,34.20000076
4.804021045,-103.125,40.625,6.467572887,43.90000153,0.266667008,2.400000095,22.0333004,0.863748014,9.78194046,0.257999986,4,88,8,7,32.5
4.610157727,-103.125,40.125,6.164981533,44,0.233333007,2.266669989,21.93330002,0.822920024,9.812410355,0.27700001,15,49,36,7,32.29999924
4.907494535,-103.125,42.625,5.191758321,43.5,0.300000012,2.299999952,21.0333004,0.817794979,9.854860306,0.442999989,18,43,39,6,31.5
4.981549713,-103.125,41.625,6.5044241,43.40000153,0.300000012,2.266669989,21.5333004,0.791383982,9.826780319,0.349000007,5,85,10,6,31.79999924
3.688879454,-103.125,44.375,4.979744082,43.09999847,0.333332986,2.299999952,20.86669922,0.818489015,10.12139988,0.515999973,47,7,46,7,30.70000076
3.586292865,-103.125,44.125,4.883735231,43.09999847,0.333332986,2.299999952,20.86669922,0.818489015,10.12139988,0.488999993,19,31,50,7,30.70000076
3.688879454,-102.875,46.375,4.968986998,45.70000076,0.300000012,2.200000048,19.79999924,0.80904001,11.34440041,0.568000019,29,30,41,6,29.29999924
4.987707789,-102.875,42.125,6.32547995,43.40000153,0.366667002,2.466670036,21.0333004,0.872258008,10.0024004,0.338,18,43,39,6,31
5.195730778,-102.875,34.125,5.954099651,38.20000076,0.366667002,2.266669989,24.86669922,0.824024022,8.31400013,0.210999995,18,43,39,9,33.20000076
5.238567362,-102.875,34.875,6.268773314,38.59999847,0.400000006,2.366669893,24.70000076,0.840273976,8.467909813,0.186000004,35,31,33,9,33.20000076
5.419649652,-102.875,34.625,6.744026221,38.59999847,0.400000006,2.366669893,24.70000076,0.840273976,8.467909813,0.218999997,30,36,34,9,33.20000076
4.363098625,-102.625,38.875,6.097619591,43.70000076,0.233333007,2.033329964,22.63330078,0.738548994,9.702389717,0.218999997,23,42,35,7,33.09999847
4.212127598,-102.625,38.375,5.33943554,45,0.300000012,1.899999976,23.4666996,0.655686021,9.896360397,0.207000002,15,20,66,7,34
4.736198448,-102.625,39.375,6.904130178,43,0.200000003,2.033329964,21.9666996,0.74467802,9.617489815,0.31099999,4,88,8,7,32.29999924
3.688879454,-102.625,46.125,5.163644319,45.70000076,0.300000012,2.200000048,19.79999924,0.80904001,11.34440041,0.477999985,15,50,35,6,29.29999924
3.437207819,-102.625,47.375,5.301331725,47,0.300000012,2.099999905,19.79999924,0.768508971,11.92850018,0.612999976,19,35,45,5,29.20000076
3.594568775,-102.625,46.875,5.154548735,46.20000076,0.266667008,2.233330011,19.5333004,0.840815008,11.61359978,0.589999974,19,36,45,5,28.89999962
5.40222683,-102.625,36.125,6.887652515,39.90000153,0.266667008,2.166670084,24.0333004,0.806038022,8.843230247,0.351999998,10,63,27,7,32.90000153
5.163070217,-102.625,32.875,3.787318757,36.90000153,0.400000006,2,26.5,0.713931024,7.903100014,0.216999993,3,92,5,10,34.70000076
5.269917892,-102.625,35.875,6.896854295,39.59999847,0.333332986,2.166670084,25,0.784316003,8.804759979,0.259000003,10,63,27,9,33.70000076
4.844187086,-102.375,40.625,6.790396222,43.70000076,0.300000012,2.5,22.73329926,0.896288991,9.876429558,0.337000012,16,36,48,7,33
4.901564199,-102.375,38.125,5.810595399,44.90000153,0.266667008,2.033329964,23.63330078,0.724255025,9.962470055,0.323000014,31,33,36,7,34
4.863680881,-102.375,40.875,6.435905972,43.70000076,0.300000012,2.5,22.73329926,0.896288991,9.876429558,0.340999991,16,36,48,7,33
